Sow,Djibril,Eint Frankfurt
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,64
NON_PEN_XG,0.03,21
TOTAL_SHOTS,0.53,20
ASSISTS,0.15,84
XA,0.09,70
NON_PEN_XG+XA,0.12,45
SHOT_CREATIONS,1.89,54
PASSES_ATTEMPTED,49.44,47
PASS_COMPLETION_PERCENTAGE,87.0,75
PROGRESSIVE_PASSES,4.46,66
PROGRESSIVE CARRIES,4.66,68
DRIBBLES_COMPLETED,0.61,33
TOUCHES_IN_AREA,1.08,51
PROGRESSIVE_PASSES_RECIEVED,1.94,59
PRESSURES,20.75,74
TACKLES,2.29,54
INTERCEPTIONS,2.40,92
BLOCKS,1.89,77
CLEARANCES,1.18,32
AERIAL_DUELS_WON,1.29,53
