Lammers,Sam,Eint Frankfurt
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,21
NON_PEN_XG,0.28,27
TOTAL_SHOTS,2.41,51
ASSISTS,0.00,5
XA,0.05,6
NON_PEN_XG+XA,0.31,11
SHOT_CREATIONS,1.44,10
PASSES_ATTEMPTED,29.60,81
PASS_COMPLETION_PERCENTAGE,63.4,8
PROGRESSIVE_PASSES,2.41,83
PROGRESSIVE CARRIES,3.13,58
DRIBBLES_COMPLETED,2.17,95
TOUCHES_IN_AREA,5.66,70
PROGRESSIVE_PASSES_RECIEVED,9.99,92
PRESSURES,18.89,86
TACKLES,0.60,43
INTERCEPTIONS,0.36,46
BLOCKS,0.96,74
CLEARANCES,0.72,58
AERIAL_DUELS_WON,4.57,92
