Moueffek,Aimen,Saint-Étienne
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.05,34
TOTAL_SHOTS,0.76,37
ASSISTS,0.00,11
XA,0.03,17
NON_PEN_XG+XA,0.09,26
SHOT_CREATIONS,1.51,34
PASSES_ATTEMPTED,37.82,16
PASS_COMPLETION_PERCENTAGE,80.0,26
PROGRESSIVE_PASSES,2.72,17
PROGRESSIVE CARRIES,5.90,86
DRIBBLES_COMPLETED,1.66,93
TOUCHES_IN_AREA,0.91,40
PROGRESSIVE_PASSES_RECIEVED,1.97,61
PRESSURES,22.84,87
TACKLES,2.12,44
INTERCEPTIONS,1.06,16
BLOCKS,2.42,97
CLEARANCES,0.91,19
AERIAL_DUELS_WON,1.36,57
