Kolodziejczak,Timothée,Saint-Étienne
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,49
NON_PEN_XG,0.06,69
TOTAL_SHOTS,0.49,49
ASSISTS,0.08,94
XA,0.04,91
NON_PEN_XG+XA,0.10,87
SHOT_CREATIONS,1.06,92
PASSES_ATTEMPTED,54.20,53
PASS_COMPLETION_PERCENTAGE,82.8,21
PROGRESSIVE_PASSES,3.87,84
PROGRESSIVE CARRIES,2.48,47
DRIBBLES_COMPLETED,0.16,35
TOUCHES_IN_AREA,0.77,48
PROGRESSIVE_PASSES_RECIEVED,0.37,86
PRESSURES,8.99,54
TACKLES,1.51,52
INTERCEPTIONS,2.36,87
BLOCKS,1.67,53
CLEARANCES,3.54,10
AERIAL_DUELS_WON,1.30,4
