Moukoudi,Harold,Saint-Étienne
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,88
NON_PEN_XG,0.08,91
TOTAL_SHOTS,0.58,67
ASSISTS,0.00,28
XA,0.02,64
NON_PEN_XG+XA,0.11,90
SHOT_CREATIONS,0.36,24
PASSES_ATTEMPTED,44.24,24
PASS_COMPLETION_PERCENTAGE,91.2,87
PROGRESSIVE_PASSES,1.85,18
PROGRESSIVE CARRIES,2.22,39
DRIBBLES_COMPLETED,0.25,61
TOUCHES_IN_AREA,0.76,46
PROGRESSIVE_PASSES_RECIEVED,0.07,26
PRESSURES,9.20,57
TACKLES,2.11,82
INTERCEPTIONS,2.22,83
BLOCKS,1.60,46
CLEARANCES,4.54,37
AERIAL_DUELS_WON,1.89,18
