Trauco,Miguel,Saint-Étienne
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,54
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.37,24
ASSISTS,0.08,54
XA,0.11,73
NON_PEN_XG+XA,0.11,48
SHOT_CREATIONS,1.64,49
PASSES_ATTEMPTED,59.47,77
PASS_COMPLETION_PERCENTAGE,74.9,31
PROGRESSIVE_PASSES,4.26,73
PROGRESSIVE CARRIES,3.44,22
DRIBBLES_COMPLETED,0.49,21
TOUCHES_IN_AREA,0.57,11
PROGRESSIVE_PASSES_RECIEVED,1.31,22
PRESSURES,11.75,37
TACKLES,2.46,71
INTERCEPTIONS,1.96,78
BLOCKS,1.51,23
CLEARANCES,2.70,67
AERIAL_DUELS_WON,0.74,22
