Sow,Saidou,Saint-Étienne
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,91
NON_PEN_XG,0.03,25
TOTAL_SHOTS,0.29,17
ASSISTS,0.06,85
XA,0.04,85
NON_PEN_XG+XA,0.06,52
SHOT_CREATIONS,0.35,21
PASSES_ATTEMPTED,53.10,51
PASS_COMPLETION_PERCENTAGE,85.3,38
PROGRESSIVE_PASSES,2.58,50
PROGRESSIVE CARRIES,2.05,36
DRIBBLES_COMPLETED,0.18,41
TOUCHES_IN_AREA,0.53,19
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,11.68,82
TACKLES,2.41,91
INTERCEPTIONS,2.41,88
BLOCKS,1.53,37
CLEARANCES,4.40,33
AERIAL_DUELS_WON,2.82,60
