Green,Etienne,Saint-Étienne
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.18,16
GOALS_CONCEDED,1.64,24
SAVE_PERCENTAGE,64.8,28
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,17.4,23
TOUCHES,32.91,35
LAUNCH_PERCENTAGE,45.3,59
GOAL_KICKS,8.40,86
AVG_GOAL_KICK_DISTANCE,50.5,70
CROSSES_STOPPED_PERCENTAGE,7.5,53
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.61,45
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.0,34
