Douath,Lucas,Saint-Étienne
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,33
TOTAL_SHOTS,0.32,6
ASSISTS,0.00,11
XA,0.00,1
NON_PEN_XG+XA,0.04,6
SHOT_CREATIONS,0.80,5
PASSES_ATTEMPTED,45.35,34
PASS_COMPLETION_PERCENTAGE,88.6,86
PROGRESSIVE_PASSES,1.60,1
PROGRESSIVE CARRIES,4.33,62
DRIBBLES_COMPLETED,0.75,48
TOUCHES_IN_AREA,0.43,10
PROGRESSIVE_PASSES_RECIEVED,0.70,10
PRESSURES,16.58,31
TACKLES,2.57,69
INTERCEPTIONS,1.34,29
BLOCKS,1.02,9
CLEARANCES,1.66,60
AERIAL_DUELS_WON,1.12,48
