Krasso,Jean-Philippe,Saint-Étienne
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,7
NON_PEN_XG,0.27,25
TOTAL_SHOTS,2.23,38
ASSISTS,0.16,62
XA,0.14,63
NON_PEN_XG+XA,0.41,34
SHOT_CREATIONS,2.23,50
PASSES_ATTEMPTED,20.23,26
PASS_COMPLETION_PERCENTAGE,64.6,11
PROGRESSIVE_PASSES,2.23,76
PROGRESSIVE CARRIES,2.87,51
DRIBBLES_COMPLETED,2.39,97
TOUCHES_IN_AREA,5.89,73
PROGRESSIVE_PASSES_RECIEVED,7.49,49
PRESSURES,19.12,86
TACKLES,1.43,95
INTERCEPTIONS,0.48,63
BLOCKS,1.59,97
CLEARANCES,0.32,22
AERIAL_DUELS_WON,3.03,74
