Nade,Mickael,Saint-Étienne
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,85
NON_PEN_XG,0.08,89
TOTAL_SHOTS,0.40,37
ASSISTS,0.00,28
XA,0.01,38
NON_PEN_XG+XA,0.09,83
SHOT_CREATIONS,0.81,81
PASSES_ATTEMPTED,35.84,7
PASS_COMPLETION_PERCENTAGE,85.6,41
PROGRESSIVE_PASSES,1.62,12
PROGRESSIVE CARRIES,1.82,30
DRIBBLES_COMPLETED,0.51,89
TOUCHES_IN_AREA,0.30,7
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,9.42,60
TACKLES,2.33,89
INTERCEPTIONS,2.63,94
BLOCKS,1.82,67
CLEARANCES,4.45,35
AERIAL_DUELS_WON,2.53,49
