Camara,Mahdi,Saint-Étienne
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,29
NON_PEN_XG,0.07,53
TOTAL_SHOTS,0.66,30
ASSISTS,0.05,41
XA,0.06,46
NON_PEN_XG+XA,0.13,48
SHOT_CREATIONS,2.42,75
PASSES_ATTEMPTED,48.59,44
PASS_COMPLETION_PERCENTAGE,86.2,69
PROGRESSIVE_PASSES,2.97,23
PROGRESSIVE CARRIES,5.05,78
DRIBBLES_COMPLETED,0.87,58
TOUCHES_IN_AREA,0.97,44
PROGRESSIVE_PASSES_RECIEVED,1.13,26
PRESSURES,18.09,47
TACKLES,2.97,84
INTERCEPTIONS,1.92,76
BLOCKS,1.97,81
CLEARANCES,1.79,70
AERIAL_DUELS_WON,1.18,51
