Neyou,Yvan,Saint-Étienne
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,31
TOTAL_SHOTS,0.96,53
ASSISTS,0.04,34
XA,0.03,16
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.38,28
PASSES_ATTEMPTED,46.84,38
PASS_COMPLETION_PERCENTAGE,85.7,65
PROGRESSIVE_PASSES,2.80,18
PROGRESSIVE CARRIES,3.72,48
DRIBBLES_COMPLETED,1.71,94
TOUCHES_IN_AREA,0.46,11
PROGRESSIVE_PASSES_RECIEVED,1.42,40
PRESSURES,13.86,12
TACKLES,2.50,64
INTERCEPTIONS,1.75,64
BLOCKS,1.42,39
CLEARANCES,1.13,28
AERIAL_DUELS_WON,0.71,25
