Bajic,Stefan,Saint-Étienne
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.30,5
GOALS_CONCEDED,2.82,1
SAVE_PERCENTAGE,50.0,1
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.44,99
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,0.0,1
TOUCHES,36.18,55
LAUNCH_PERCENTAGE,35.5,29
GOAL_KICKS,8.29,81
AVG_GOAL_KICK_DISTANCE,49.0,64
CROSSES_STOPPED_PERCENTAGE,5.7,18
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.24,93
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.1,72
