Abi,Charles,Saint-Étienne
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,55
NON_PEN_XG,0.23,17
TOTAL_SHOTS,2.08,30
ASSISTS,0.26,88
XA,0.03,3
NON_PEN_XG+XA,0.27,4
SHOT_CREATIONS,1.43,10
PASSES_ATTEMPTED,22.11,43
PASS_COMPLETION_PERCENTAGE,67.1,18
PROGRESSIVE_PASSES,0.78,9
PROGRESSIVE CARRIES,2.99,54
DRIBBLES_COMPLETED,0.91,44
TOUCHES_IN_AREA,4.68,34
PROGRESSIVE_PASSES_RECIEVED,7.54,51
PRESSURES,23.41,98
TACKLES,0.65,46
INTERCEPTIONS,0.91,97
BLOCKS,0.65,36
CLEARANCES,0.39,26
AERIAL_DUELS_WON,3.51,80
