Bouanga,Denis,Saint-Étienne
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,44
NON_PEN_XG,0.32,86
TOTAL_SHOTS,3.48,96
ASSISTS,0.10,19
XA,0.13,27
NON_PEN_XG+XA,0.45,66
SHOT_CREATIONS,2.88,35
PASSES_ATTEMPTED,29.99,16
PASS_COMPLETION_PERCENTAGE,68.8,18
PROGRESSIVE_PASSES,2.11,17
PROGRESSIVE CARRIES,5.15,31
DRIBBLES_COMPLETED,2.61,89
TOUCHES_IN_AREA,6.26,88
PROGRESSIVE_PASSES_RECIEVED,6.33,50
PRESSURES,23.09,96
TACKLES,2.34,95
INTERCEPTIONS,0.80,39
BLOCKS,1.31,61
CLEARANCES,1.71,99
AERIAL_DUELS_WON,2.98,99
