Youssouf,Zaydou,Saint-Étienne
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,59
NON_PEN_XG,0.06,45
TOTAL_SHOTS,1.30,78
ASSISTS,0.07,51
XA,0.04,24
NON_PEN_XG+XA,0.10,29
SHOT_CREATIONS,1.50,33
PASSES_ATTEMPTED,42.98,28
PASS_COMPLETION_PERCENTAGE,81.7,36
PROGRESSIVE_PASSES,2.60,13
PROGRESSIVE CARRIES,3.32,38
DRIBBLES_COMPLETED,1.76,94
TOUCHES_IN_AREA,0.39,8
PROGRESSIVE_PASSES_RECIEVED,1.43,40
PRESSURES,17.23,40
TACKLES,2.80,79
INTERCEPTIONS,2.15,87
BLOCKS,1.30,27
CLEARANCES,1.04,26
AERIAL_DUELS_WON,0.85,34
