Sanches,Renato,Lille
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,49
NON_PEN_XG,0.07,56
TOTAL_SHOTS,1.10,65
ASSISTS,0.20,91
XA,0.13,87
NON_PEN_XG+XA,0.20,79
SHOT_CREATIONS,3.50,96
PASSES_ATTEMPTED,57.47,69
PASS_COMPLETION_PERCENTAGE,79.6,25
PROGRESSIVE_PASSES,5.95,89
PROGRESSIVE CARRIES,6.75,91
DRIBBLES_COMPLETED,2.80,99
TOUCHES_IN_AREA,1.70,77
PROGRESSIVE_PASSES_RECIEVED,3.25,85
PRESSURES,17.99,47
TACKLES,1.85,30
INTERCEPTIONS,1.55,45
BLOCKS,0.90,4
CLEARANCES,0.60,7
AERIAL_DUELS_WON,0.60,17
