Bamba,Jonathan,Lille
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,1
NON_PEN_XG,0.10,8
TOTAL_SHOTS,1.45,19
ASSISTS,0.12,25
XA,0.11,16
NON_PEN_XG+XA,0.21,7
SHOT_CREATIONS,3.27,53
PASSES_ATTEMPTED,45.97,77
PASS_COMPLETION_PERCENTAGE,76.7,53
PROGRESSIVE_PASSES,3.21,46
PROGRESSIVE CARRIES,6.16,54
DRIBBLES_COMPLETED,1.45,40
TOUCHES_IN_AREA,2.78,20
PROGRESSIVE_PASSES_RECIEVED,7.11,65
PRESSURES,13.50,27
TACKLES,1.19,35
INTERCEPTIONS,1.30,82
BLOCKS,1.36,65
CLEARANCES,0.46,41
AERIAL_DUELS_WON,0.58,43
