David,Jonathan,Lille
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.58,89
NON_PEN_XG,0.39,61
TOTAL_SHOTS,1.94,21
ASSISTS,0.03,10
XA,0.10,40
NON_PEN_XG+XA,0.49,54
SHOT_CREATIONS,2.21,49
PASSES_ATTEMPTED,20.68,29
PASS_COMPLETION_PERCENTAGE,78.3,86
PROGRESSIVE_PASSES,1.81,68
PROGRESSIVE CARRIES,2.76,49
DRIBBLES_COMPLETED,0.95,47
TOUCHES_IN_AREA,4.78,38
PROGRESSIVE_PASSES_RECIEVED,7.83,57
PRESSURES,19.92,90
TACKLES,0.84,64
INTERCEPTIONS,0.58,77
BLOCKS,0.63,34
CLEARANCES,0.29,19
AERIAL_DUELS_WON,0.81,16
