Mandava,Reinildo,Lille
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,16
TOTAL_SHOTS,0.21,10
ASSISTS,0.00,8
XA,0.02,5
NON_PEN_XG+XA,0.04,4
SHOT_CREATIONS,1.28,25
PASSES_ATTEMPTED,59.52,77
PASS_COMPLETION_PERCENTAGE,80.7,70
PROGRESSIVE_PASSES,3.43,45
PROGRESSIVE CARRIES,4.46,48
DRIBBLES_COMPLETED,0.90,58
TOUCHES_IN_AREA,0.69,16
PROGRESSIVE_PASSES_RECIEVED,1.89,41
PRESSURES,13.18,58
TACKLES,3.24,93
INTERCEPTIONS,2.36,93
BLOCKS,2.50,90
CLEARANCES,3.08,82
AERIAL_DUELS_WON,1.97,88
