"b'Ylmaz, Burak'",Lille
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.41,64
NON_PEN_XG,0.39,66
TOTAL_SHOTS,3.03,80
ASSISTS,0.14,55
XA,0.18,78
NON_PEN_XG+XA,0.57,71
SHOT_CREATIONS,1.96,34
PASSES_ATTEMPTED,22.85,47
PASS_COMPLETION_PERCENTAGE,70.7,37
PROGRESSIVE_PASSES,1.07,23
PROGRESSIVE CARRIES,3.48,67
DRIBBLES_COMPLETED,0.69,24
TOUCHES_IN_AREA,5.62,69
PROGRESSIVE_PASSES_RECIEVED,7.00,41
PRESSURES,11.13,20
TACKLES,0.24,6
INTERCEPTIONS,0.21,14
BLOCKS,0.62,32
CLEARANCES,0.65,48
AERIAL_DUELS_WON,1.48,39
