Ikone,Jonathan,Lille
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,14
NON_PEN_XG,0.18,39
TOTAL_SHOTS,1.98,52
ASSISTS,0.16,41
XA,0.13,31
NON_PEN_XG+XA,0.31,30
SHOT_CREATIONS,2.56,20
PASSES_ATTEMPTED,33.56,27
PASS_COMPLETION_PERCENTAGE,80.6,79
PROGRESSIVE_PASSES,3.62,61
PROGRESSIVE CARRIES,5.50,38
DRIBBLES_COMPLETED,2.18,72
TOUCHES_IN_AREA,3.26,33
PROGRESSIVE_PASSES_RECIEVED,6.27,49
PRESSURES,14.91,39
TACKLES,0.77,8
INTERCEPTIONS,0.48,8
BLOCKS,0.93,24
CLEARANCES,0.48,43
AERIAL_DUELS_WON,0.70,54
