Weah,Timothy,Lille
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,27
NON_PEN_XG,0.24,64
TOTAL_SHOTS,1.90,45
ASSISTS,0.14,33
XA,0.14,32
NON_PEN_XG+XA,0.38,48
SHOT_CREATIONS,1.57,2
PASSES_ATTEMPTED,29.59,14
PASS_COMPLETION_PERCENTAGE,72.2,27
PROGRESSIVE_PASSES,2.33,22
PROGRESSIVE CARRIES,4.84,24
DRIBBLES_COMPLETED,0.85,11
TOUCHES_IN_AREA,4.65,67
PROGRESSIVE_PASSES_RECIEVED,7.12,66
PRESSURES,14.20,32
TACKLES,1.23,39
INTERCEPTIONS,0.66,28
BLOCKS,0.76,10
CLEARANCES,0.47,43
AERIAL_DUELS_WON,1.14,79
