André,Benjamin,Lille
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,28
NON_PEN_XG,0.03,23
TOTAL_SHOTS,0.52,19
ASSISTS,0.05,40
XA,0.04,29
NON_PEN_XG+XA,0.08,21
SHOT_CREATIONS,1.29,22
PASSES_ATTEMPTED,61.90,77
PASS_COMPLETION_PERCENTAGE,82.0,38
PROGRESSIVE_PASSES,5.11,77
PROGRESSIVE CARRIES,4.34,62
DRIBBLES_COMPLETED,0.74,47
TOUCHES_IN_AREA,1.02,46
PROGRESSIVE_PASSES_RECIEVED,2.51,71
PRESSURES,22.34,84
TACKLES,3.52,95
INTERCEPTIONS,2.48,94
BLOCKS,2.38,96
CLEARANCES,2.28,88
AERIAL_DUELS_WON,3.38,98
