Guimarães,Bruno,Lyon
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,35
NON_PEN_XG,0.07,58
TOTAL_SHOTS,0.78,38
ASSISTS,0.14,81
XA,0.12,83
NON_PEN_XG+XA,0.19,76
SHOT_CREATIONS,3.13,92
PASSES_ATTEMPTED,74.68,93
PASS_COMPLETION_PERCENTAGE,88.3,84
PROGRESSIVE_PASSES,6.79,95
PROGRESSIVE CARRIES,7.93,96
DRIBBLES_COMPLETED,1.24,82
TOUCHES_IN_AREA,1.14,53
PROGRESSIVE_PASSES_RECIEVED,2.06,65
PRESSURES,23.10,89
TACKLES,3.77,97
INTERCEPTIONS,1.56,46
BLOCKS,1.28,24
CLEARANCES,1.24,37
AERIAL_DUELS_WON,0.78,30
