Mendes,Thiago,Lyon
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,37
NON_PEN_XG,0.05,36
TOTAL_SHOTS,0.97,54
ASSISTS,0.04,29
XA,0.07,56
NON_PEN_XG+XA,0.12,44
SHOT_CREATIONS,2.20,65
PASSES_ATTEMPTED,64.28,82
PASS_COMPLETION_PERCENTAGE,87.9,82
PROGRESSIVE_PASSES,6.63,94
PROGRESSIVE CARRIES,3.46,43
DRIBBLES_COMPLETED,0.82,55
TOUCHES_IN_AREA,0.74,30
PROGRESSIVE_PASSES_RECIEVED,1.49,43
PRESSURES,16.04,28
TACKLES,2.42,61
INTERCEPTIONS,2.12,85
BLOCKS,1.53,48
CLEARANCES,1.15,31
AERIAL_DUELS_WON,0.82,33
