Dembélé,Moussa,Lyon
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,34
NON_PEN_XG,0.40,66
TOTAL_SHOTS,2.52,55
ASSISTS,0.10,36
XA,0.16,67
NON_PEN_XG+XA,0.55,67
SHOT_CREATIONS,2.23,50
PASSES_ATTEMPTED,19.76,22
PASS_COMPLETION_PERCENTAGE,67.2,18
PROGRESSIVE_PASSES,0.78,8
PROGRESSIVE CARRIES,2.33,38
DRIBBLES_COMPLETED,0.78,29
TOUCHES_IN_AREA,5.43,63
PROGRESSIVE_PASSES_RECIEVED,7.85,57
PRESSURES,13.85,43
TACKLES,0.68,48
INTERCEPTIONS,0.19,10
BLOCKS,0.87,67
CLEARANCES,0.78,63
AERIAL_DUELS_WON,2.91,74
