Aouar,Houssem,Lyon
FW,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,78
NON_PEN_XG,0.41,93
TOTAL_SHOTS,3.10,92
ASSISTS,0.06,11
XA,0.19,61
NON_PEN_XG+XA,0.60,90
SHOT_CREATIONS,3.87,76
PASSES_ATTEMPTED,49.65,85
PASS_COMPLETION_PERCENTAGE,85.6,99
PROGRESSIVE_PASSES,4.49,80
PROGRESSIVE CARRIES,7.75,80
DRIBBLES_COMPLETED,2.65,90
TOUCHES_IN_AREA,5.33,78
PROGRESSIVE_PASSES_RECIEVED,7.72,80
PRESSURES,15.98,50
TACKLES,1.36,55
INTERCEPTIONS,1.10,70
BLOCKS,0.97,29
CLEARANCES,0.16,9
AERIAL_DUELS_WON,0.42,24
