Toko Ekambi,Karl,Lyon
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.43,92
NON_PEN_XG,0.50,98
TOTAL_SHOTS,2.85,87
ASSISTS,0.16,42
XA,0.16,45
NON_PEN_XG+XA,0.66,93
SHOT_CREATIONS,2.88,34
PASSES_ATTEMPTED,35.19,34
PASS_COMPLETION_PERCENTAGE,78.9,66
PROGRESSIVE_PASSES,2.80,32
PROGRESSIVE CARRIES,6.71,65
DRIBBLES_COMPLETED,2.14,72
TOUCHES_IN_AREA,5.86,82
PROGRESSIVE_PASSES_RECIEVED,8.25,86
PRESSURES,10.86,9
TACKLES,0.65,4
INTERCEPTIONS,1.14,74
BLOCKS,1.09,40
CLEARANCES,0.71,71
AERIAL_DUELS_WON,1.41,85
