Boateng,Jérôme,Lyon
CB,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,42
NON_PEN_XG,0.01,6
TOTAL_SHOTS,0.23,9
ASSISTS,0.07,90
XA,0.06,98
NON_PEN_XG+XA,0.07,59
SHOT_CREATIONS,0.78,78
PASSES_ATTEMPTED,67.94,86
PASS_COMPLETION_PERCENTAGE,89.8,79
PROGRESSIVE_PASSES,5.22,97
PROGRESSIVE CARRIES,4.93,91
DRIBBLES_COMPLETED,0.20,46
TOUCHES_IN_AREA,0.52,18
PROGRESSIVE_PASSES_RECIEVED,0.16,53
PRESSURES,8.22,41
TACKLES,1.27,33
INTERCEPTIONS,2.28,86
BLOCKS,1.14,5
CLEARANCES,4.73,44
AERIAL_DUELS_WON,1.60,10
