Lopes,Anthony,Lyon
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.02,50
GOALS_CONCEDED,1.32,52
SAVE_PERCENTAGE,70.4,60
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,27.3,55
TOUCHES,35.40,49
LAUNCH_PERCENTAGE,29.3,15
GOAL_KICKS,7.08,38
AVG_GOAL_KICK_DISTANCE,34.9,17
CROSSES_STOPPED_PERCENTAGE,5.0,9
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.94,79
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.0,86
