Paquetá,Lucas,Lyon
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.44,93
NON_PEN_XG,0.44,95
TOTAL_SHOTS,2.97,91
ASSISTS,0.29,83
XA,0.28,88
NON_PEN_XG+XA,0.72,96
SHOT_CREATIONS,3.91,77
PASSES_ATTEMPTED,49.57,85
PASS_COMPLETION_PERCENTAGE,79.5,71
PROGRESSIVE_PASSES,5.79,94
PROGRESSIVE CARRIES,5.23,32
DRIBBLES_COMPLETED,1.82,58
TOUCHES_IN_AREA,4.44,62
PROGRESSIVE_PASSES_RECIEVED,7.43,74
PRESSURES,22.13,93
TACKLES,3.06,99
INTERCEPTIONS,0.85,47
BLOCKS,1.26,56
CLEARANCES,0.76,76
AERIAL_DUELS_WON,1.79,93
