Slimani,Islam,Lyon
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.45,72
NON_PEN_XG,0.46,79
TOTAL_SHOTS,2.63,62
ASSISTS,0.13,49
XA,0.16,70
NON_PEN_XG+XA,0.61,78
SHOT_CREATIONS,2.38,58
PASSES_ATTEMPTED,33.79,87
PASS_COMPLETION_PERCENTAGE,77.6,83
PROGRESSIVE_PASSES,2.12,74
PROGRESSIVE CARRIES,2.38,40
DRIBBLES_COMPLETED,0.45,10
TOUCHES_IN_AREA,5.65,70
PROGRESSIVE_PASSES_RECIEVED,9.19,83
PRESSURES,14.90,53
TACKLES,0.84,63
INTERCEPTIONS,0.19,10
BLOCKS,0.45,13
CLEARANCES,0.64,48
AERIAL_DUELS_WON,2.31,63
