Heung-min,Son,Tottenham
ST,AM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,81
NON_PEN_XG,0.27,76
TOTAL_SHOTS,2.17,59
ASSISTS,0.22,65
XA,0.22,73
NON_PEN_XG+XA,0.49,74
SHOT_CREATIONS,3.29,55
PASSES_ATTEMPTED,37.22,43
PASS_COMPLETION_PERCENTAGE,76.0,49
PROGRESSIVE_PASSES,1.73,6
PROGRESSIVE CARRIES,5.08,29
DRIBBLES_COMPLETED,1.29,32
TOUCHES_IN_AREA,4.53,64
PROGRESSIVE_PASSES_RECIEVED,7.71,79
PRESSURES,14.93,39
TACKLES,0.74,7
INTERCEPTIONS,0.82,44
BLOCKS,0.85,16
CLEARANCES,0.11,4
AERIAL_DUELS_WON,0.52,36
