Gollini,Pierluigi,Tottenham
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.08,37
GOALS_CONCEDED,1.18,69
SAVE_PERCENTAGE,60.0,5
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,92
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,31.8,71
TOUCHES,29.53,10
LAUNCH_PERCENTAGE,33.2,23
GOAL_KICKS,4.90,3
AVG_GOAL_KICK_DISTANCE,54.2,82
CROSSES_STOPPED_PERCENTAGE,3.7,2
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.99,84
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.5,91
