Winks,Harry,Tottenham
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,9
TOTAL_SHOTS,0.62,28
ASSISTS,0.09,63
XA,0.04,28
NON_PEN_XG+XA,0.06,13
SHOT_CREATIONS,1.24,19
PASSES_ATTEMPTED,63.93,81
PASS_COMPLETION_PERCENTAGE,86.0,68
PROGRESSIVE_PASSES,6.30,91
PROGRESSIVE CARRIES,3.10,31
DRIBBLES_COMPLETED,0.62,34
TOUCHES_IN_AREA,0.18,1
PROGRESSIVE_PASSES_RECIEVED,0.62,6
PRESSURES,17.82,46
TACKLES,2.04,42
INTERCEPTIONS,3.10,99
BLOCKS,1.42,38
CLEARANCES,1.42,46
AERIAL_DUELS_WON,1.06,46
