Dier,Eric,Tottenham
CB,CB,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,31
TOTAL_SHOTS,0.45,44
ASSISTS,0.00,28
XA,0.04,92
NON_PEN_XG+XA,0.07,63
SHOT_CREATIONS,0.75,75
PASSES_ATTEMPTED,59.51,69
PASS_COMPLETION_PERCENTAGE,86.9,50
PROGRESSIVE_PASSES,2.54,48
PROGRESSIVE CARRIES,2.18,39
DRIBBLES_COMPLETED,0.09,16
TOUCHES_IN_AREA,0.78,49
PROGRESSIVE_PASSES_RECIEVED,0.18,57
PRESSURES,5.92,11
TACKLES,0.90,9
INTERCEPTIONS,1.43,27
BLOCKS,1.85,70
CLEARANCES,5.50,66
AERIAL_DUELS_WON,3.14,71
