Moura,Lucas,Tottenham
RW,AM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,33
NON_PEN_XG,0.14,20
TOTAL_SHOTS,1.60,26
ASSISTS,0.21,58
XA,0.15,41
NON_PEN_XG+XA,0.29,24
SHOT_CREATIONS,3.04,42
PASSES_ATTEMPTED,39.76,56
PASS_COMPLETION_PERCENTAGE,75.2,47
PROGRESSIVE_PASSES,3.61,60
PROGRESSIVE CARRIES,7.23,75
DRIBBLES_COMPLETED,2.88,92
TOUCHES_IN_AREA,2.92,23
PROGRESSIVE_PASSES_RECIEVED,4.85,20
PRESSURES,14.66,36
TACKLES,2.14,91
INTERCEPTIONS,1.07,66
BLOCKS,0.90,20
CLEARANCES,1.07,88
AERIAL_DUELS_WON,2.09,95
