Emerson,,Tottenham
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.04,53
TOTAL_SHOTS,0.26,16
ASSISTS,0.12,67
XA,0.05,22
NON_PEN_XG+XA,0.09,29
SHOT_CREATIONS,1.54,46
PASSES_ATTEMPTED,55.43,63
PASS_COMPLETION_PERCENTAGE,80.5,69
PROGRESSIVE_PASSES,2.82,20
PROGRESSIVE CARRIES,4.91,58
DRIBBLES_COMPLETED,0.78,51
TOUCHES_IN_AREA,2.30,83
PROGRESSIVE_PASSES_RECIEVED,2.61,69
PRESSURES,18.53,94
TACKLES,3.25,93
INTERCEPTIONS,2.24,89
BLOCKS,2.06,69
CLEARANCES,3.34,88
AERIAL_DUELS_WON,1.54,73
