Doherty,Matt,Tottenham
RB,RB,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,7
TOTAL_SHOTS,0.29,19
ASSISTS,0.29,98
XA,0.09,56
NON_PEN_XG+XA,0.10,36
SHOT_CREATIONS,1.54,46
PASSES_ATTEMPTED,61.03,80
PASS_COMPLETION_PERCENTAGE,81.9,76
PROGRESSIVE_PASSES,2.98,25
PROGRESSIVE CARRIES,3.85,31
DRIBBLES_COMPLETED,0.67,43
TOUCHES_IN_AREA,1.54,60
PROGRESSIVE_PASSES_RECIEVED,2.89,76
PRESSURES,13.86,66
TACKLES,1.54,18
INTERCEPTIONS,2.12,85
BLOCKS,2.70,94
CLEARANCES,4.43,99
AERIAL_DUELS_WON,3.47,99
