Sánchez,Davinson,Tottenham
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,57
NON_PEN_XG,0.05,62
TOTAL_SHOTS,0.38,31
ASSISTS,0.00,28
XA,0.00,18
NON_PEN_XG+XA,0.06,43
SHOT_CREATIONS,0.33,16
PASSES_ATTEMPTED,55.26,57
PASS_COMPLETION_PERCENTAGE,87.1,53
PROGRESSIVE_PASSES,1.84,17
PROGRESSIVE CARRIES,2.78,54
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.47,14
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,10.43,70
TACKLES,2.36,90
INTERCEPTIONS,1.32,19
BLOCKS,1.75,59
CLEARANCES,7.17,93
AERIAL_DUELS_WON,2.78,59
