Corchia,Sébastien,Nantes
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.03,48
TOTAL_SHOTS,1.03,84
ASSISTS,0.13,71
XA,0.03,9
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.24,24
PASSES_ATTEMPTED,37.19,3
PASS_COMPLETION_PERCENTAGE,65.9,3
PROGRESSIVE_PASSES,2.87,22
PROGRESSIVE CARRIES,3.90,31
DRIBBLES_COMPLETED,0.56,30
TOUCHES_IN_AREA,0.77,19
PROGRESSIVE_PASSES_RECIEVED,1.50,28
PRESSURES,13.13,56
TACKLES,2.62,80
INTERCEPTIONS,1.54,45
BLOCKS,1.93,55
CLEARANCES,2.49,56
AERIAL_DUELS_WON,1.12,45
