Girotto,Andrei,Nantes
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,79
NON_PEN_XG,0.06,72
TOTAL_SHOTS,1.09,99
ASSISTS,0.03,62
XA,0.02,71
NON_PEN_XG+XA,0.08,75
SHOT_CREATIONS,0.59,57
PASSES_ATTEMPTED,42.50,18
PASS_COMPLETION_PERCENTAGE,81.6,15
PROGRESSIVE_PASSES,2.24,34
PROGRESSIVE CARRIES,1.57,23
DRIBBLES_COMPLETED,0.17,38
TOUCHES_IN_AREA,1.12,80
PROGRESSIVE_PASSES_RECIEVED,0.20,63
PRESSURES,15.26,98
TACKLES,3.23,99
INTERCEPTIONS,1.57,41
BLOCKS,1.82,67
CLEARANCES,4.21,27
AERIAL_DUELS_WON,2.52,49
