Kolo Muani,Randal,Nantes
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,48
NON_PEN_XG,0.30,32
TOTAL_SHOTS,1.54,4
ASSISTS,0.14,52
XA,0.13,57
NON_PEN_XG+XA,0.44,39
SHOT_CREATIONS,2.28,54
PASSES_ATTEMPTED,17.69,14
PASS_COMPLETION_PERCENTAGE,67.8,19
PROGRESSIVE_PASSES,0.98,17
PROGRESSIVE CARRIES,3.76,73
DRIBBLES_COMPLETED,1.54,80
TOUCHES_IN_AREA,5.20,54
PROGRESSIVE_PASSES_RECIEVED,6.36,29
PRESSURES,15.71,61
TACKLES,0.95,71
INTERCEPTIONS,0.60,80
BLOCKS,0.62,33
CLEARANCES,0.87,75
AERIAL_DUELS_WON,2.00,59
