Pallois,Nicolas,Nantes
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,41
NON_PEN_XG,0.04,37
TOTAL_SHOTS,0.34,23
ASSISTS,0.00,28
XA,0.00,11
NON_PEN_XG+XA,0.04,22
SHOT_CREATIONS,0.12,1
PASSES_ATTEMPTED,39.33,12
PASS_COMPLETION_PERCENTAGE,80.0,10
PROGRESSIVE_PASSES,2.46,44
PROGRESSIVE CARRIES,2.21,39
DRIBBLES_COMPLETED,0.47,86
TOUCHES_IN_AREA,0.62,28
PROGRESSIVE_PASSES_RECIEVED,0.12,40
PRESSURES,9.16,56
TACKLES,2.21,85
INTERCEPTIONS,2.43,89
BLOCKS,1.71,56
CLEARANCES,6.66,89
AERIAL_DUELS_WON,2.09,28
