Moutoussamy,Samuel,Nantes
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.15,92
TOTAL_SHOTS,0.89,46
ASSISTS,0.00,11
XA,0.00,1
NON_PEN_XG+XA,0.16,65
SHOT_CREATIONS,1.04,10
PASSES_ATTEMPTED,40.48,21
PASS_COMPLETION_PERCENTAGE,83.5,48
PROGRESSIVE_PASSES,1.04,1
PROGRESSIVE CARRIES,1.78,6
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,1.33,61
PROGRESSIVE_PASSES_RECIEVED,0.89,15
PRESSURES,28.76,99
TACKLES,3.26,92
INTERCEPTIONS,1.63,52
BLOCKS,0.74,1
CLEARANCES,1.78,70
AERIAL_DUELS_WON,1.04,46
