Blas,Ludovic,Nantes
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,65
NON_PEN_XG,0.23,61
TOTAL_SHOTS,2.34,68
ASSISTS,0.14,34
XA,0.13,29
NON_PEN_XG+XA,0.36,43
SHOT_CREATIONS,2.37,15
PASSES_ATTEMPTED,30.94,21
PASS_COMPLETION_PERCENTAGE,78.9,66
PROGRESSIVE_PASSES,2.91,35
PROGRESSIVE CARRIES,5.11,30
DRIBBLES_COMPLETED,2.00,65
TOUCHES_IN_AREA,3.17,31
PROGRESSIVE_PASSES_RECIEVED,5.17,26
PRESSURES,18.23,69
TACKLES,1.54,65
INTERCEPTIONS,1.31,84
BLOCKS,1.29,58
CLEARANCES,0.51,48
AERIAL_DUELS_WON,0.71,55
