Traore,Charles,Nantes
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,58
NON_PEN_XG,0.01,18
TOTAL_SHOTS,0.14,4
ASSISTS,0.00,8
XA,0.00,1
NON_PEN_XG+XA,0.02,1
SHOT_CREATIONS,0.92,7
PASSES_ATTEMPTED,47.17,25
PASS_COMPLETION_PERCENTAGE,72.6,18
PROGRESSIVE_PASSES,3.52,48
PROGRESSIVE CARRIES,2.32,4
DRIBBLES_COMPLETED,0.39,13
TOUCHES_IN_AREA,0.39,4
PROGRESSIVE_PASSES_RECIEVED,0.87,7
PRESSURES,18.33,93
TACKLES,3.23,93
INTERCEPTIONS,1.59,48
BLOCKS,2.60,93
CLEARANCES,4.68,99
AERIAL_DUELS_WON,1.83,86
