Le Marchand,Maxime,Strasbourg
CB,LB,LM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,87
NON_PEN_XG,0.03,30
TOTAL_SHOTS,0.33,21
ASSISTS,0.00,28
XA,0.01,41
NON_PEN_XG+XA,0.03,13
SHOT_CREATIONS,0.11,1
PASSES_ATTEMPTED,53.78,52
PASS_COMPLETION_PERCENTAGE,88.3,65
PROGRESSIVE_PASSES,2.71,53
PROGRESSIVE CARRIES,1.73,27
DRIBBLES_COMPLETED,0.22,54
TOUCHES_IN_AREA,0.33,7
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,9.76,65
TACKLES,1.84,74
INTERCEPTIONS,1.63,43
BLOCKS,1.41,24
CLEARANCES,2.71,2
AERIAL_DUELS_WON,1.84,16
