Aholou,Jean-Eudes,Strasbourg
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,43
NON_PEN_XG,0.06,48
TOTAL_SHOTS,1.28,76
ASSISTS,0.09,63
XA,0.07,53
NON_PEN_XG+XA,0.13,49
SHOT_CREATIONS,1.06,11
PASSES_ATTEMPTED,36.60,15
PASS_COMPLETION_PERCENTAGE,85.1,58
PROGRESSIVE_PASSES,2.38,11
PROGRESSIVE CARRIES,2.90,27
DRIBBLES_COMPLETED,0.92,61
TOUCHES_IN_AREA,0.70,25
PROGRESSIVE_PASSES_RECIEVED,1.23,31
PRESSURES,16.89,34
TACKLES,1.94,34
INTERCEPTIONS,2.38,92
BLOCKS,1.06,10
CLEARANCES,1.85,73
AERIAL_DUELS_WON,1.54,66
