Thomasson,Adrien,Strasbourg
CB,AM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,62
NON_PEN_XG,0.29,82
TOTAL_SHOTS,1.75,36
ASSISTS,0.09,15
XA,0.18,57
NON_PEN_XG+XA,0.46,71
SHOT_CREATIONS,3.08,45
PASSES_ATTEMPTED,42.91,64
PASS_COMPLETION_PERCENTAGE,76.8,54
PROGRESSIVE_PASSES,3.23,47
PROGRESSIVE CARRIES,3.35,5
DRIBBLES_COMPLETED,1.17,27
TOUCHES_IN_AREA,5.14,76
PROGRESSIVE_PASSES_RECIEVED,5.66,38
PRESSURES,27.25,99
TACKLES,2.12,91
INTERCEPTIONS,1.11,71
BLOCKS,1.94,95
CLEARANCES,0.43,37
AERIAL_DUELS_WON,0.83,65
