Sissoko,Ibrahima,Strasbourg
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,33
NON_PEN_XG,0.08,65
TOTAL_SHOTS,1.03,59
ASSISTS,0.14,79
XA,0.12,82
NON_PEN_XG+XA,0.19,77
SHOT_CREATIONS,1.68,45
PASSES_ATTEMPTED,41.34,24
PASS_COMPLETION_PERCENTAGE,82.0,38
PROGRESSIVE_PASSES,3.92,51
PROGRESSIVE CARRIES,4.85,73
DRIBBLES_COMPLETED,1.24,82
TOUCHES_IN_AREA,1.99,83
PROGRESSIVE_PASSES_RECIEVED,2.68,76
PRESSURES,16.94,34
TACKLES,2.27,52
INTERCEPTIONS,2.10,83
BLOCKS,1.37,34
CLEARANCES,1.41,45
AERIAL_DUELS_WON,2.06,84
