Djiku,Alexander,Strasbourg
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.08,89
TOTAL_SHOTS,0.44,42
ASSISTS,0.00,28
XA,0.01,45
NON_PEN_XG+XA,0.09,84
SHOT_CREATIONS,0.67,66
PASSES_ATTEMPTED,47.04,32
PASS_COMPLETION_PERCENTAGE,87.1,53
PROGRESSIVE_PASSES,2.82,57
PROGRESSIVE CARRIES,2.56,48
DRIBBLES_COMPLETED,0.17,40
TOUCHES_IN_AREA,0.67,35
PROGRESSIVE_PASSES_RECIEVED,0.09,28
PRESSURES,10.01,66
TACKLES,2.15,84
INTERCEPTIONS,3.17,99
BLOCKS,1.72,58
CLEARANCES,5.93,79
AERIAL_DUELS_WON,2.04,24
