Liénard,Dimitri,Strasbourg
,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,68
NON_PEN_XG,0.07,59
TOTAL_SHOTS,1.31,78
ASSISTS,0.17,87
XA,0.14,89
NON_PEN_XG+XA,0.22,82
SHOT_CREATIONS,3.00,90
PASSES_ATTEMPTED,61.80,77
PASS_COMPLETION_PERCENTAGE,73.8,5
PROGRESSIVE_PASSES,4.90,72
PROGRESSIVE CARRIES,5.66,84
DRIBBLES_COMPLETED,0.76,48
TOUCHES_IN_AREA,1.06,49
PROGRESSIVE_PASSES_RECIEVED,3.38,87
PRESSURES,17.10,38
TACKLES,2.62,72
INTERCEPTIONS,1.48,40
BLOCKS,1.18,18
CLEARANCES,0.80,14
AERIAL_DUELS_WON,0.59,16
