Kawashima,Eiji,Strasbourg
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.11,32
GOALS_CONCEDED,1.12,76
SAVE_PERCENTAGE,68.9,50
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
CLEAN_SHEET_PERCENTAGE,35.3,84
TOUCHES,31.47,18
LAUNCH_PERCENTAGE,54.4,81
GOAL_KICKS,8.12,73
AVG_GOAL_KICK_DISTANCE,57.9,88
CROSSES_STOPPED_PERCENTAGE,6.5,31
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.12,1
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,11.0,1
