Perrin,Lucas,Strasbourg
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,73
NON_PEN_XG,0.03,32
TOTAL_SHOTS,0.47,47
ASSISTS,0.00,28
XA,0.03,84
NON_PEN_XG+XA,0.07,57
SHOT_CREATIONS,0.87,85
PASSES_ATTEMPTED,49.57,39
PASS_COMPLETION_PERCENTAGE,88.5,67
PROGRESSIVE_PASSES,4.23,89
PROGRESSIVE CARRIES,4.10,81
DRIBBLES_COMPLETED,0.13,27
TOUCHES_IN_AREA,0.74,42
PROGRESSIVE_PASSES_RECIEVED,0.13,45
PRESSURES,9.60,62
TACKLES,1.68,65
INTERCEPTIONS,2.69,95
BLOCKS,1.41,24
CLEARANCES,3.49,9
AERIAL_DUELS_WON,2.08,28
