Morlanes,Manu,Espanyol
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,85
NON_PEN_XG,0.04,30
TOTAL_SHOTS,0.55,22
ASSISTS,0.00,11
XA,0.03,15
NON_PEN_XG+XA,0.05,12
SHOT_CREATIONS,1.23,19
PASSES_ATTEMPTED,50.49,50
PASS_COMPLETION_PERCENTAGE,89.1,89
PROGRESSIVE_PASSES,4.12,56
PROGRESSIVE CARRIES,5.35,80
DRIBBLES_COMPLETED,0.82,55
TOUCHES_IN_AREA,0.27,4
PROGRESSIVE_PASSES_RECIEVED,0.27,1
PRESSURES,18.80,54
TACKLES,2.61,72
INTERCEPTIONS,1.10,17
BLOCKS,1.92,79
CLEARANCES,1.78,70
AERIAL_DUELS_WON,1.37,57
