de Tomás,Raúl,Espanyol
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.36,49
NON_PEN_XG,0.34,46
TOTAL_SHOTS,3.37,88
ASSISTS,0.12,45
XA,0.07,20
NON_PEN_XG+XA,0.42,35
SHOT_CREATIONS,2.17,46
PASSES_ATTEMPTED,20.57,29
PASS_COMPLETION_PERCENTAGE,81.9,94
PROGRESSIVE_PASSES,1.99,71
PROGRESSIVE CARRIES,3.97,77
DRIBBLES_COMPLETED,1.93,92
TOUCHES_IN_AREA,5.05,48
PROGRESSIVE_PASSES_RECIEVED,5.29,9
PRESSURES,8.36,5
TACKLES,0.60,43
INTERCEPTIONS,0.24,20
BLOCKS,0.90,70
CLEARANCES,1.20,91
AERIAL_DUELS_WON,1.02,25
