Cabrera,Leandro,Espanyol
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,64
NON_PEN_XG,0.05,59
TOTAL_SHOTS,0.56,62
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.05,33
SHOT_CREATIONS,0.50,44
PASSES_ATTEMPTED,45.56,26
PASS_COMPLETION_PERCENTAGE,77.0,5
PROGRESSIVE_PASSES,1.94,21
PROGRESSIVE CARRIES,0.72,3
DRIBBLES_COMPLETED,0.17,37
TOUCHES_IN_AREA,0.56,22
PROGRESSIVE_PASSES_RECIEVED,0.17,53
PRESSURES,5.78,8
TACKLES,0.56,1
INTERCEPTIONS,1.56,38
BLOCKS,1.22,9
CLEARANCES,6.39,85
AERIAL_DUELS_WON,1.83,16
