Morón,Loren,Espanyol
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,3
NON_PEN_XG,0.18,4
TOTAL_SHOTS,1.77,13
ASSISTS,0.00,5
XA,0.03,3
NON_PEN_XG+XA,0.20,1
SHOT_CREATIONS,1.42,9
PASSES_ATTEMPTED,16.02,8
PASS_COMPLETION_PERCENTAGE,69.6,31
PROGRESSIVE_PASSES,1.59,56
PROGRESSIVE CARRIES,1.59,13
DRIBBLES_COMPLETED,0.62,21
TOUCHES_IN_AREA,3.36,4
PROGRESSIVE_PASSES_RECIEVED,3.98,1
PRESSURES,16.46,70
TACKLES,1.59,99
INTERCEPTIONS,0.44,59
BLOCKS,1.33,93
CLEARANCES,1.42,95
AERIAL_DUELS_WON,2.92,74
