Llorente,Marcos,Atlético Madrid
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,92
NON_PEN_XG,0.07,63
TOTAL_SHOTS,1.02,57
ASSISTS,0.23,95
XA,0.14,89
NON_PEN_XG+XA,0.22,83
SHOT_CREATIONS,2.20,66
PASSES_ATTEMPTED,45.36,34
PASS_COMPLETION_PERCENTAGE,82.3,41
PROGRESSIVE_PASSES,3.17,32
PROGRESSIVE CARRIES,5.09,78
DRIBBLES_COMPLETED,0.95,63
TOUCHES_IN_AREA,2.80,93
PROGRESSIVE_PASSES_RECIEVED,5.63,97
PRESSURES,16.58,32
TACKLES,2.34,56
INTERCEPTIONS,1.07,16
BLOCKS,1.55,51
CLEARANCES,1.30,40
AERIAL_DUELS_WON,0.65,20
