Kondogbia,Geoffrey,Atlético Madrid
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,13
TOTAL_SHOTS,0.83,41
ASSISTS,0.00,11
XA,0.03,13
NON_PEN_XG+XA,0.05,9
SHOT_CREATIONS,1.09,13
PASSES_ATTEMPTED,47.30,39
PASS_COMPLETION_PERCENTAGE,87.1,77
PROGRESSIVE_PASSES,3.78,48
PROGRESSIVE CARRIES,4.48,64
DRIBBLES_COMPLETED,0.70,44
TOUCHES_IN_AREA,0.32,5
PROGRESSIVE_PASSES_RECIEVED,0.83,15
PRESSURES,19.20,60
TACKLES,3.78,97
INTERCEPTIONS,2.50,94
BLOCKS,1.28,24
CLEARANCES,1.92,77
AERIAL_DUELS_WON,2.05,83
