Koke,,Atlético Madrid
AM,CM,DM-WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,28
NON_PEN_XG,0.05,42
TOTAL_SHOTS,0.54,22
ASSISTS,0.07,52
XA,0.04,28
NON_PEN_XG+XA,0.10,28
SHOT_CREATIONS,1.85,53
PASSES_ATTEMPTED,68.20,87
PASS_COMPLETION_PERCENTAGE,87.3,80
PROGRESSIVE_PASSES,5.61,85
PROGRESSIVE CARRIES,4.67,68
DRIBBLES_COMPLETED,0.77,48
TOUCHES_IN_AREA,0.70,24
PROGRESSIVE_PASSES_RECIEVED,1.19,30
PRESSURES,18.82,54
TACKLES,2.12,45
INTERCEPTIONS,1.10,18
BLOCKS,1.53,50
CLEARANCES,1.22,35
AERIAL_DUELS_WON,0.56,15
